iter	Passed	Remaining
605	1948	1267
606	1950	1262
607	1952	1259
608	1959	1258
609	1961	1254
610	1963	1250
611	1965	1245
612	1966	1241
613	1968	1237
614	1971	1234
615	1973	1230
616	1975	1226
617	1977	1222
618	1979	1218
619	1981	1214
620	1983	1210
621	1989	1208
622	1991	1204
623	1992	1200
624	1994	1196
625	1996	1193
626	1998	1188
627	2000	1185
628	2002	1181
629	2004	1177
630	2006	1173
631	2008	1169
632	2010	1165
633	2011	1161
634	2017	1159
635	2019	1156
636	2022	1152
637	2024	1148
638	2026	1144
639	2028	1141
640	2031	1137
641	2033	1133
642	2034	1129
643	2036	1125
644	2038	1121
645	2040	1118
646	2042	1114
647	2046	1111
648	2048	1107
649	2049	1103
650	2051	1099
651	2053	1096
652	2055	1092
653	2057	1088
654	2060	1085
655	2062	1081
656	2064	1077
657	2065	1073
658	2067	1069
659	2069	1065
660	2070	1062
661	2073	1058
662	2076	1055
663	2078	1051
664	2080	1047
665	2081	1044
666	2083	1040
667	2085	1036
668	2087	1032
669	2090	1029
670	2091	1025
671	2094	1022
672	2096	1018
673	2098	1015
674	2100	1011
675	2106	1009
676	2108	1006
677	2110	1002
678	2112	998
679	2113	994
680	2115	991
681	2117	987
682	2119	983
683	2122	980
684	2126	977
685	2128	974
686	2130	970
687	2137	969
688	2140	966
689	2142	962
690	2145	959
691	2147	955
692	2159	956
693	2161	953
694	2163	949
695	2169	947
696	2171	944
697	2180	943
698	2183	940
699	2186	936
700	2188	933
701	2190	929
702	2193	926
703	2196	923
704	2198	919
705	2199	916
706	2205	913
707	2207	910
708	2210	907
709	2211	903
710	2214	900
711	2219	897
712	2222	894
713	2224	891
714	2226	887
715	2229	884
716	2233	881
717	2235	878
718	2237	874
719	2240	871
720	2242	867
721	2244	864
722	2251	862
723	2253	859
724	2256	855
725	2258	852
726	2269	852
727	2464	920
728	2485	923
729	2488	920
730	2490	916
731	2502	916
732	2506	912
733	2509	909
734	2512	905
735	2564	919
736	2568	916
737	2626	932
738	2628	928
739	2631	924
740	2633	920
741	2635	916
742	2638	912
743	2640	908
744	2642	904
745	2644	900
746	2646	896
747	2648	892
748	2654	889
749	2656	885
750	2716	900
751	2718	896
752	2721	892
753	2724	888
754	2726	884
755	2732	881
756	2735	878
757	2738	874
758	2740	870
759	2742	866
760	2745	862
761	2747	858
762	2749	854
763	2805	866
764	2810	863
765	2812	859
766	2814	855
767	2817	851
768	2832	850
769	2834	846
770	2836	842
771	2839	838
772	2840	834
773	2843	830
774	2846	826
775	2848	822
776	2866	822
777	2868	818
778	2870	814
779	2872	810
780	2874	806
781	2879	802
782	2881	798
783	2883	794
784	2885	790
785	2887	786
786	2892	782
787	2894	778
788	2896	774
789	2898	770
790	2900	766
791	2902	762
792	2903	757
793	2905	753
794	2906	749
795	2908	745
796	2910	741
797	2912	737
798	2914	733
799	2916	729
800	2918	725
801	2920	721
802	2923	717
803	2925	713
804	2927	709
805	2929	705
806	2931	701
807	2934	697
808	2938	693
809	2940	689
810	2942	685
811	2945	681
812	2947	678
813	2950	674
814	2953	670
815	2955	666
816	2957	662
817	2959	658
818	2961	654
819	2963	650
820	2966	646
821	2968	642
822	2969	638
823	2971	634
824	2973	630
825	2976	626
826	2979	623
827	2982	619
828	2984	615
829	2986	611
830	2988	607
831	2990	603
832	2992	599
833	2994	596
834	2996	592
835	2998	588
836	3000	584
837	3002	580
838	3003	576
839	3005	572
840	3007	568
841	3009	564
842	3011	560
843	3013	557
844	3015	553
845	3017	549
846	3019	545
847	3020	541
848	3022	537
849	3024	533
850	3026	529
851	3028	526
852	3030	522
853	3032	518
854	3036	515
855	3038	511
856	3040	507
857	3042	503
858	3047	500
859	3049	496
860	3051	492
861	3053	488
862	3056	485
863	3059	481
864	3062	477
865	3064	474
866	3066	470
867	3068	466
868	3070	462
869	3072	459
870	3074	455
871	3076	451
872	3078	447
873	3080	444
874	3082	440
875	3084	436
876	3086	432
877	3088	429
878	3089	425
879	3091	421
880	3093	417
881	3095	414
882	3096	410
883	3098	406
884	3100	402
885	3102	399
886	3104	395
887	3106	391
888	3108	388
889	3109	384
890	3111	380
891	3113	376
892	3114	373
893	3116	369
894	3118	365
895	3119	362
896	3121	358
897	3123	354
898	3124	351
899	3126	347
900	3128	343
901	3129	340
902	3131	336
903	3132	332
904	3134	329
905	3136	325
906	3137	321
907	3139	318
908	3140	314
909	3142	310
910	3144	307
911	3146	303
912	3148	300
913	3149	296
914	3151	292
915	3153	289
916	3155	285
917	3157	282
918	3159	278
919	3161	274
920	3162	271
921	3164	267
922	3166	264
923	3167	260
924	3169	256
925	3171	253
926	3172	249
927	3174	246
928	3175	242
929	3177	239
930	3178	235
931	3180	232
932	3182	228
933	3183	224
934	3185	221
935	3186	217
936	3188	214
937	3189	210
938	3191	207
939	3192	203
940	3194	200
941	3195	196
942	3197	193
943	3199	189
944	3200	186
945	3202	182
946	3203	179
947	3205	175
948	3207	172
949	3208	168
950	3210	165
951	3211	161
952	3213	158
953	3214	155
954	3216	151
955	3218	148
956	3219	144
957	3221	141
958	3223	137
959	3224	134
960	3226	130
961	3228	127
962	3230	124
963	3232	120
964	3234	117
965	3235	113
966	3237	110
967	3239	107
968	3240	103
969	3242	100
970	3243	96
971	3245	93
972	3247	90
973	3248	86
974	3250	83
975	3252	79
976	3253	76
977	3255	73
978	3259	69
979	3261	66
980	3262	63
981	3264	59
982	3265	56
983	3267	53
984	3269	49
985	3270	46
986	3272	43
987	3273	39
988	3275	36
989	3276	33
990	3278	29
991	3280	26
992	3282	23
993	3283	19
994	3285	16
995	3286	13
996	3288	9
997	3289	6
998	3291	3
999	3292	0
